ID,Video,Date,Flower,Time,Hummingbird,Sex,Pierce,
FL001,130601AA,6/1/2013,Heliconia virginalis,6:24:46,White-whiskered Hermit,,,
FL001,130601AA,6/1/2013,Heliconia virginalis,6:28:07,Green-crowned Woodnymph,,,
FL001,130601AA,6/1/2013,Heliconia virginalis,6:55:28,White-whiskered Hermit,,,
FL001,130601AA,6/1/2013,Heliconia virginalis,7:03:11,Stripe-throated Hermit,,,
FL001,130601AA,6/1/2013,Heliconia virginalis,7:35:41,Stripe-throated Hermit,,,
FL001,130601AA,6/1/2013,Heliconia virginalis,7:51:47,White-whiskered Hermit,,,
FL001,130601AA,6/1/2013,Heliconia virginalis,8:45:56,White-whiskered Hermit,,,
FL001,130601AA,6/1/2013,Heliconia virginalis,8:49:01,Stripe-throated Hermit,,,
FL001,130601AA,6/1/2013,Heliconia virginalis,8:55:48,Green-crowned Woodnymph,,,
FL001,130601AA,6/1/2013,Heliconia virginalis,9:17:40,Stripe-throated Hermit,,,
FL001,130601AA,6/1/2013,Heliconia virginalis,9:23:03,White-whiskered Hermit,,,
FL001,130601AA,6/1/2013,Heliconia virginalis,9:51:02,Green-crowned Woodnymph,,,
FL001,130601AA,6/1/2013,Heliconia virginalis,9:59:35,White-whiskered Hermit,,,
FL001,130601AB,6/1/2013,Heliconia virginalis,10:20:03,White-whiskered Hermit,,,
FL001,130601AB,6/1/2013,Heliconia virginalis,10:31:36,White-whiskered Hermit,,,
FL001,130601AB,6/1/2013,Heliconia virginalis,11:33:15,White-whiskered Hermit,,,
FL001,130601AB,6/1/2013,Heliconia virginalis,13:05:29,Green-crowned Woodnymph,,,
FL001,130602AA,6/2/2013,Heliconia virginalis,6:26:09,White-whiskered Hermit,,,
FL001,130602AA,6/2/2013,Heliconia virginalis,6:53:51,Green-crowned Woodnymph,,,
FL001,130602AA,6/2/2013,Heliconia virginalis,7:22:42,Stripe-throated Hermit,,,
FL003,130601AB,6/1/2013,Columnea picta,13:11:27,White-whiskered Hermit,,,
FL003,130601AB,6/1/2013,Columnea picta,13:30:08,Stripe-throated Hermit,,,
FL005,130602AA,6/2/2013,Palicourea demissa,7:14:13,White-necked Jacobin,,,
FL026,130615AA,6/15/2013,Heliconia burleana,6:32:34,Tawny-bellied Hermit,,,
FL026,130615AA,6/15/2013,Heliconia burleana,7:57:03,Tawny-bellied Hermit,,,
FL026,130615AA,6/15/2013,Heliconia burleana,9:56:18,Tawny-bellied Hermit,,,
FL026,130615AB,6/15/2013,Heliconia burleana,17:36:32,Brown Inca,,,
FL026,130616AA,6/16/2013,Heliconia burleana,8:20:11,UKWN,,,
FL026,130616AA,6/16/2013,Heliconia burleana,8:36:41,Tawny-bellied Hermit,,,
FL027,130615AA,6/15/2013,Drymonia collegarum,8:22:08,Tawny-bellied Hermit,,,
FL027,130616AB,6/16/2013,Drymonia collegarum,14:51:45,Tawny-bellied Hermit,,,
FL028,130615AA,6/15/2013,Columnea Strigosa,7:46:40,UKWN,,,
FL028,130615AA,6/15/2013,Columnea Strigosa,8:30:33,UKWN,,,
FL028,130616AA,6/16/2013,Columnea Strigosa,7:24:43,UKWN,,,
FL029,130616AA,6/16/2013,Palicourea acetosoides,9:30:04,Brown Inca,,,
FL030,130615AA,6/15/2013,Psammisia ulbrichiana,8:26:52,Brown Inca,,,
FL030,130615AB,6/15/2013,Psammisia ulbrichiana,17:06:45,Brown Inca,,,
FL030,130616AA,6/16/2013,Psammisia ulbrichiana,6:30:03,Brown Inca,,,
FL030,130616AA,6/16/2013,Psammisia ulbrichiana,9:24:05,Brown Inca,,,
FL030,130616AA,6/16/2013,Psammisia ulbrichiana,17:04:32,Brown Inca,,,
FL030,130616AA,6/16/2013,Psammisia ulbrichiana,17:17:50,Violet-tailed Sylph,,,
FL031,130619AA,6/19/2013,Drymonia tuescheri,9:23:29,Violet-tailed Sylph,M,,
FL031,130620AA,6/20/2013,Drymonia tuescheri,7:04:20,Violet-tailed Sylph,F,,
FL031,130620AA,6/20/2013,Drymonia tuescheri,8:03:53,Violet-tailed Sylph,F,,
FL031,130620AA,6/20/2013,Drymonia tuescheri,9:13:18,Violet-tailed Sylph,F,,
FL031,130620AB,6/20/2013,Drymonia tuescheri,15:01:56,Violet-tailed Sylph,F,,
FL032,130615AB,6/15/2013,Centropogon solanifolius,16:20:07,Tawny-bellied Hermit,,,
FL032,130616AA,6/16/2013,Centropogon solanifolius,6:32:30,Tawny-bellied Hermit,,,
FL033,130615AA,6/15/2013,Fucshia macrostigma,5:52:41,UKWN,,Y,
FL035,130615AA,6/15/2013,Palicourea lineata,15:41:13,Gorgeted Sunangel,,,
FL035,130615AA,6/16/2013,Palicourea lineata,15:04:12,Gorgeted Sunangel,,,
FL036,130615AA,6/15/2013,Palicourea lineata,15:09:37,Speckled Hummingbird,,,
FL038,130619AA,6/19/2013,Glossoloma oblongicalyx,14:21:22,Tawny-bellied Hermit,,,
FL038,130619AA,6/19/2013,Glossoloma oblongicalyx,15:55:52,Speckled Hummingbird,,Y,
FL043,130624AA,6/24/2013,Palicourea acetosoides,8:41:22,Collared Inca,,,
FL043,130624AA,6/24/2013,Palicourea acetosoides,9:23:17,Violet-tailed Sylph,F,,
FL043,130624AB,6/24/2013,Palicourea acetosoides,14:03:44,Violet-tailed Sylph,F,Y,
FL043,130624AB,6/24/2013,Palicourea acetosoides,16:57:40,Violet-tailed Sylph,F,Y,
FL043,130625AA,6/25/2013,Palicourea acetosoides,7:02:47,Violet-tailed Sylph,F,Y,
FL043,130625AA,6/25/2013,Palicourea acetosoides,9:25:56,Violet-tailed Sylph,F,Y,
FL043,130625AB,6/25/2013,Palicourea acetosoides,14:06:39,UKWN,,,
FL043,130625AB,6/25/2013,Palicourea acetosoides,16:49:44,UKWN,,,
FL044,130624AB,6/24/2013,Macleania bullata,14:03:15,Collared Inca,,,
FL044,130626AA,6/26/2013,Macleania bullata,6:36:52,Collared Inca,,,
FL044,130626AA,6/26/2013,Macleania bullata,6:58:01,Collared Inca,,,
FL044,130626AA,6/26/2013,Macleania bullata,8:28:59,Collared Inca,,,
FL046,130625AA,6/25/2013,Psammisia ulbrichiana,15:04:00,Gorgeted Sunangel,,,
FL047,130628AA,6/28/2013,Mikania websteri,8:42:43,Hoary Puffleg,,,
FL049,130705AA,7/4/2013,Salvia quitensis,8:32:30,Stripe-throated Hermit,,,
FL049,130705AA,7/4/2013,Salvia quitensis,16:47:29,Stripe-throated Hermit,,,
FL050,130704AA,7/4/2013,Centropogon solanifolius,8:43:55,Wedge-billed Hummingbird,,,
FL050,130704AB,7/4/2013,Centropogon solanifolius,15:43:38,Tawny-bellied Hermit,,,
FL050,130705AA,7/5/2013,Centropogon solanifolius,9:39:10,Tawny-bellied Hermit,,,
FL050,130705AB,7/5/2013,Centropogon solanifolius,16:43:24,Tawny-bellied Hermit,,,
FL052,130705AA,7/5/2013,Glossoloma purpureum,9:26:46,Stripe-throated Hermit,,,
FL053,130705AA,7/5/2013,Renealmia sessifolia,7:15:32,Booted Racket-tail,,,
FL053,130706AA,7/6/2013,Renealmia sessifolia,7:10:26,White-whiskered Hermit,,,
FL053,130706AA,7/6/2013,Renealmia sessifolia,8:40:47,Tawny-bellied Hermit,,,
FL053,130706AA,7/6/2013,Renealmia sessifolia,15:53:47,Tawny-bellied Hermit,,,
FL054,130706AA,7/6/2013,Heliconia burleana,6:38:09,Tawny-bellied Hermit,,,
FL054,130706AA,7/6/2013,Heliconia burleana,9:12:19,Tawny-bellied Hermit,,,
FL057,130704AA,7/4/2013,Glossoloma purpureum,16:25:30,Stripe-throated Hermit,,,Y
FL057,130704AB,7/4/2013,Glossoloma purpureum,17:03:25,White-whiskered Hermit,,,
FL057,130704AB,7/4/2013,Glossoloma purpureum,17:57:45,Stripe-throated Hermit,,,Y
FL057,130705AA,7/5/2013,Glossoloma purpureum,6:39:37,Stripe-throated Hermit,,,Y
FL057,130705AA,7/5/2013,Glossoloma purpureum,6:57:05,White-whiskered Hermit,,,
FL057,130705AA,7/5/2013,Glossoloma purpureum,8:07:01,Stripe-throated Hermit,,,Y
FL057,130705AA,7/5/2013,Glossoloma purpureum,9:14:03,White-whiskered Hermit,,,
FL057,130705AB,7/5/2013,Glossoloma purpureum,15:55:41,White-whiskered Hermit,,,
FL057,130705AB,7/5/2013,Glossoloma purpureum,15:55:55,Stripe-throated Hermit,,,Y
FL057,130705AB,7/5/2013,Glossoloma purpureum,16:48:19,Stripe-throated Hermit,,,Y
FL057,130705AB,7/5/2013,Glossoloma purpureum,17:51:07,Stripe-throated Hermit,,,
FL058,130704AA,7/4/2013,Drymonia teuscheri,16:15:06,Tawny-bellied Hermit,,,
FL058,130704AB,7/4/2013,Drymonia teuscheri,17:02:47,Stripe-throated Hermit,,,
FL058,130705AA,7/5/2013,Drymonia teuscheri,6:40:40,White-whiskered Hermit,,,
FL058,130705AA,7/5/2013,Drymonia teuscheri,7:00:27,Tawny-bellied Hermit,,,
FL058,130705AA,7/5/2013,Drymonia teuscheri,7:31:25,Tawny-bellied Hermit,,,
FL058,130705AA,7/5/2013,Drymonia teuscheri,7:51:28,White-whiskered Hermit,,,
FL058,130705AA,7/5/2013,Drymonia teuscheri,7:56:49,Tawny-bellied Hermit,,,
FL058,130705AA,7/5/2013,Drymonia teuscheri,8:59:17,White-whiskered Hermit,,,
FL058,130705AA,7/5/2013,Drymonia teuscheri,9:08:36,Stripe-throated Hermit,,,
FL058,130705AA,7/5/2013,Drymonia teuscheri,9:09:46,Tawny-bellied Hermit,,,
FL058,130705AA,7/5/2013,Drymonia teuscheri,9:22:04,Stripe-throated Hermit,,,
FL058,130705AB,7/5/2013,Drymonia teuscheri,17:26:33,Tawny-bellied Hermit,,,
FL060,130710AA,7/10/2013,Palicourea demissa,7:13:36,Booted Racket-tail,,,
FL060,130710AA,7/10/2013,Palicourea demissa,7:18:58,Stripe-throated Hermit,,,
FL060,130710AA,7/10/2013,Palicourea demissa,7:41:54,Booted Racket-tail,,,
FL060,130710AA,7/10/2013,Palicourea demissa,8:02:43,Booted Racket-tail,,,
FL060,130710AA,7/10/2013,Palicourea demissa,8:37:29,Booted Racket-tail,,,
FL060,130710AA,7/10/2013,Palicourea demissa,8:47:49,Stripe-throated Hermit,,,
FL060,130710AA,7/10/2013,Palicourea demissa,9:19:19,Booted Racket-tail,,,
FL060,130710AA,7/10/2013,Palicourea demissa,9:20:04,White-whiskered Hermit,,,
FL060,130710AA,7/10/2013,Palicourea demissa,9:38:27,Stripe-throated Hermit,,,
FL060,130710AB,7/10/2013,Palicourea demissa,14:30:00,Green-crowned Woodnymph,,,
FL060,130710AB,7/10/2013,Palicourea demissa,14:47:03,Purple-bibbed Whitetip,,,
FL060,130710AB,7/10/2013,Palicourea demissa,15:50:03,UKWN,,,
FL060,130710AB,7/10/2013,Palicourea demissa,17:25:55,Booted Racket-tail,,,
FL060,130711AA,7/11/2013,Palicourea demissa,6:14:24,Stripe-throated Hermit,,,
FL060,130711AA,7/11/2013,Palicourea demissa,6:23:40,Booted Racket-tail,,,
FL060,130711AA,7/11/2013,Palicourea demissa,7:20:54,Purple-bibbed Whitetip,,,
FL060,130711AA,7/11/2013,Palicourea demissa,8:48:20,UKWN,,,
FL060,130711AA,7/11/2013,Palicourea demissa,9:01:27,Stripe-throated Hermit,,,
FL060,130711AA,7/11/2013,Palicourea demissa,9:28:51,Purple-bibbed Whitetip,,,
FL061,130710AA,7/10/2013,Psammisia aberrans,7:52:54,White-whiskered Hermit,,,
FL061,130710AA,7/10/2013,Psammisia aberrans,8:10:28,White-whiskered Hermit,,,
FL061,130710AA,7/10/2013,Psammisia aberrans,8:46:08,White-whiskered Hermit,,,
FL061,130710AA,7/10/2013,Psammisia aberrans,8:55:47,White-whiskered Hermit,,,
FL061,130710AA,7/10/2013,Psammisia aberrans,9:10:42,Tawny-bellied Hermit,,,
FL061,130710AA,7/10/2013,Psammisia aberrans,9:44:24,Tawny-bellied Hermit,,,
FL061,130710AB,7/10/2013,Psammisia aberrans,14:49:58,White-whiskered Hermit,,,
FL061,130710AB,7/10/2013,Psammisia aberrans,16:44:43,White-whiskered Hermit,,,
FL061,130711AA,7/11/2013,Psammisia aberrans,6:25:30,White-whiskered Hermit,,,
FL061,130711AA,7/11/2013,Psammisia aberrans,8:23:11,UKWN,,,
FL061,130711AA,7/11/2013,Psammisia aberrans,8:55:00,UKWN,,,
FL061,130711AB,7/11/2013,Psammisia aberrans,15:11:43,Tawny-bellied Hermit,,,
